iter	Passed	Remaining
401	18762	121256
402	18794	121115
403	18854	121155
404	18887	121021
405	18942	121026
406	18986	120961
407	19017	120817
408	19048	120672
409	19080	120530
410	19137	120553
411	19192	120556
412	19251	120591
413	19281	120438
414	19329	120404
415	19389	120436
416	19425	120325
417	19455	120179
418	19487	120043
419	19525	119944
420	19583	119968
421	19616	119834
422	19676	119870
423	19705	119719
424	19735	119574
425	19794	119601
426	19854	119637
427	19883	119488
428	19933	119461
429	19996	119512
430	20026	119370
431	20068	119294
432	20108	119211
433	20166	119233
434	20195	119085
435	20231	118973
436	20262	118839
437	20312	118815
438	20354	118742
439	20392	118646
440	20425	118521
441	20465	118439
442	20501	118333
443	20555	118335
444	20608	118326
445	20659	118305
446	20720	118344
447	20784	118394
448	20822	118303
449	20883	118337
450	20912	118196
451	20950	118100
452	20987	117999
453	21045	118023
454	21081	117919
455	21142	117954
456	21179	117855
457	21208	117713
458	21258	117684
459	21287	117545
460	21340	117536
461	21377	117438
462	21407	117300
463	21468	117335
464	21529	117371
465	21584	117373
466	21627	117305
467	21681	117304
468	21739	117321
469	21795	117323
470	21835	117245
471	21892	117253
472	21954	117290
473	21982	117146
474	22014	117022
475	22073	117047
476	22102	116906
477	22133	116781
478	22165	116659
479	22197	116538
480	22250	116528
481	22304	116518
482	22336	116398
483	22375	116313
484	22413	116228
485	22473	116249
486	22514	116179
487	22553	116092
488	22603	116068
489	22657	116061
490	22688	115935
491	22749	115964
492	22780	115841
493	22812	115724
494	22844	115604
495	22880	115509
496	22915	115405
497	22971	115410
498	23032	115439
499	23069	115345
500	23098	115216
501	23137	115136
502	23167	115006
503	23227	115033
504	23291	115076
505	23321	114946
506	23350	114817
507	23413	114854
508	23468	114850
509	23525	114857
510	23557	114743
511	23590	114633
512	23623	114523
513	23661	114442
514	23691	114314
515	23722	114197
516	23755	114088
517	23807	114075
518	23855	114036
519	23911	114037
520	23950	113958
521	23988	113874
522	24051	113909
523	24079	113781
524	24135	113782
525	24185	113754
526	24243	113764
527	24298	113762
528	24358	113782
529	24418	113797
530	24448	113680
531	24509	113702
532	24542	113594
533	24584	113529
534	24640	113531
535	24695	113527
536	24728	113419
537	24764	113327
538	24793	113203
539	24826	113097
540	24864	113015
541	24916	112996
542	24958	112931
543	25023	112975
544	25056	112867
545	25117	112889
546	25175	112896
547	25234	112910
548	25276	112847
549	25307	112731
550	25335	112607
551	25367	112498
552	25424	112503
553	25453	112380
554	25488	112285
555	25532	112230
556	25563	112119
557	25592	112001
558	25625	111898
559	25660	111805
560	25689	111687
561	25741	111666
562	25802	111689
563	25862	111704
564	25907	111653
565	25939	111550
566	26013	111624
567	26070	111625
568	26103	111522
569	26135	111419
570	26219	111536
571	26286	111581
572	26329	111522
573	26371	111458
574	26405	111364
575	26438	111262
576	26478	111193
577	26513	111100
578	26582	111150
579	26620	111072
580	26666	111024
581	26722	111021
582	26770	110983
583	26803	110885
584	26836	110786
585	26877	110720
586	26909	110618
587	26977	110664
588	27011	110569
589	27054	110510
590	27124	110563
591	27189	110595
592	27266	110676
593	27297	110570
594	27329	110466
595	27396	110506
596	27440	110451
597	27486	110404
598	27547	110419
599	27617	110471
600	27657	110397
601	27689	110298
602	27762	110359
603	27822	110368
604	27880	110368
605	27934	110353
606	27968	110263
607	28038	110307
608	28070	110209
609	28104	110112
610	28162	110113
611	28223	110125
612	28293	110174
613	28345	110152
614	28415	110197
615	28449	110104
616	28492	110046
617	28547	110034
618	28611	110055
619	28643	109953
620	28701	109952
621	28763	109967
622	28792	109855
623	28851	109858
624	28895	109802
625	28944	109767
