iter	Logloss
0	0.6811417559
1	0.6701296635
2	0.6390002754
3	0.6148757631
4	0.5884833587
5	0.564823736
6	0.543401987
7	0.5378643167
8	0.5327864299
9	0.5147343011
10	0.5026741096
11	0.48779156
12	0.4746089852
13	0.4650829724
14	0.4624878463
15	0.4521298012
16	0.4420403388
17	0.4330805847
18	0.4314093991
19	0.4235666372
20	0.4165348687
21	0.4096365353
22	0.4044223752
23	0.3995824384
24	0.3946155545
25	0.3916993103
26	0.3889099649
27	0.3851859107
28	0.3845828199
29	0.3840283196
30	0.3835184506
31	0.3802254033
32	0.3781892322
33	0.3753266841
34	0.3727084932
35	0.3703049604
36	0.3681110515
37	0.3661123368
38	0.3658885729
39	0.3645619676
40	0.3627048768
41	0.3615478198
42	0.3600950685
43	0.3593602566
44	0.3585151027
45	0.3573248998
46	0.3572167128
47	0.357117113
48	0.3570254149
49	0.3562557176
50	0.3552840967
51	0.3552145255
52	0.3542923194
53	0.3542348284
54	0.353706018
55	0.3536582624
56	0.3530977372
57	0.3524621674
58	0.352065294
59	0.3514316784
60	0.3510086958
61	0.3509813363
62	0.3505027437
63	0.3499998183
64	0.3494396694
65	0.3492132151
66	0.3491959906
67	0.3487038298
68	0.3484126852
69	0.3481891933
70	0.3479216347
71	0.3479107931
72	0.3476405943
73	0.3476315878
74	0.3472840691
75	0.3470211667
76	0.3470142564
77	0.3470078896
78	0.3468385872
79	0.3466963557
80	0.3464048709
81	0.3462399049
82	0.3461302069
83	0.3459683982
84	0.3459018358
85	0.3458987525
86	0.3457687341
87	0.3457661619
88	0.3457637918
89	0.3456227237
90	0.3454527522
91	0.3453271277
92	0.3453254177
93	0.3452163276
94	0.3450458949
95	0.3449074473
96	0.3449062156
97	0.3448467513
98	0.3447586186
99	0.3446996183
100	0.3446987752
101	0.3445761295
102	0.3445312038
103	0.3445099746
104	0.3445093624
105	0.3444861942
106	0.3443765979
107	0.3443425805
108	0.3443421179
109	0.3442429852
110	0.3442287657
111	0.3442283794
112	0.3442280233
113	0.3442053106
114	0.3442050134
115	0.3441453671
116	0.3441058712
117	0.3440662504
118	0.3440291577
119	0.3440046441
120	0.3440044796
121	0.3439873947
122	0.3439188034
123	0.3439088698
124	0.3439087717
125	0.3438546651
126	0.3438051241
127	0.3437846933
128	0.3437846926
129	0.3437724697
130	0.3437724125
131	0.3437524149
132	0.3437214002
133	0.3437149483
134	0.3436858836
135	0.3436468272
136	0.3436184312
137	0.3436106195
138	0.3436106139
139	0.3436003214
140	0.3435583095
141	0.3435524856
142	0.343518524
143	0.3435026971
144	0.3435026929
145	0.3434968719
146	0.3434953136
147	0.3434804189
148	0.3434506514
149	0.3434313956
150	0.343421751
151	0.3434088791
152	0.3434020026
153	0.3433990789
154	0.3433719765
155	0.3433719726
156	0.3433719588
157	0.3433694633
158	0.3433666946
159	0.343366691
160	0.3433666831
161	0.3433666807
162	0.3433607725
163	0.3433592665
164	0.3433510806
165	0.3433481017
166	0.3433451347
167	0.3433451326
168	0.3433348552
169	0.3433301797
170	0.3433069113
171	0.3433053539
172	0.3433053533
173	0.3433053527
174	0.3433032121
175	0.3432895453
176	0.3432752644
177	0.3432712541
178	0.3432694846
179	0.3432694838
180	0.3432513855
181	0.3432513832
182	0.3432356192
183	0.3432356188
184	0.3432323529
185	0.343229526
186	0.3432295253
187	0.3432295225
188	0.34322952
189	0.3432272329
190	0.3432230179
191	0.3432208538
192	0.3432208537
193	0.3432093692
194	0.3432093683
195	0.3431963733
196	0.3431942752
197	0.3431942735
198	0.3431941469
199	0.3431941467
200	0.3431923233
201	0.3431844498
202	0.3431840349
203	0.3431825315
204	0.3431825304
205	0.3431817503
206	0.3431817498
207	0.3431748102
208	0.3431696838
209	0.3431696829
210	0.3431659764
211	0.3431645911
212	0.3431622912
213	0.3431619812
214	0.3431595468
215	0.3431595464
216	0.3431544096
217	0.3431535204
218	0.3431523442
219	0.343146368
220	0.3431381308
221	0.3431313631
222	0.3431297002
223	0.3431297
224	0.3431258454
225	0.3431236187
226	0.3431209734
227	0.3431182077
228	0.3431126923
229	0.3431114103
230	0.3431101359
231	0.34310729
232	0.3431050365
233	0.3431006445
