iter	Logloss
234	0.3431006445
235	0.3430993406
236	0.3430993405
237	0.343098074
238	0.3430950522
239	0.343093562
240	0.3430891651
241	0.343089165
242	0.343089165
243	0.3430864755
244	0.3430828798
245	0.3430803169
246	0.3430803169
247	0.3430765525
248	0.3430758005
249	0.3430758005
250	0.3430754742
251	0.3430754742
252	0.3430754736
253	0.3430747874
254	0.3430746314
255	0.3430703699
256	0.343063589
257	0.3430611946
258	0.3430611946
259	0.3430611945
260	0.3430611945
261	0.3430557644
262	0.3430503033
263	0.3430502304
264	0.3430459797
265	0.3430459765
266	0.3430459765
267	0.3430459765
268	0.3430459
269	0.3430459
270	0.3430459
271	0.3430459
272	0.3430459
273	0.3430451917
274	0.3430449773
275	0.3430448011
276	0.3430371232
277	0.343034041
278	0.3430296358
279	0.3430278268
280	0.343027826
281	0.3430235636
282	0.3430227191
283	0.3430222534
284	0.3430222534
285	0.34301612
286	0.34301612
287	0.3430120006
288	0.3430119991
289	0.3430119991
290	0.3430095751
291	0.3430032237
292	0.3430003313
293	0.3430003313
294	0.3429981841
295	0.3429981835
296	0.3429938978
297	0.34299132
298	0.34299132
299	0.3429904799
300	0.342986775
301	0.3429855474
302	0.34298329
303	0.3429810638
304	0.3429810638
305	0.3429804174
306	0.3429735608
307	0.3429735608
308	0.3429715502
309	0.3429691718
310	0.3429690304
311	0.3429680194
312	0.3429670545
313	0.3429670545
314	0.3429608381
315	0.3429607809
316	0.3429607809
317	0.3429607809
318	0.3429607111
319	0.3429560941
320	0.3429532173
321	0.3429507461
322	0.3429481259
323	0.3429456156
324	0.3429455397
325	0.3429420931
326	0.3429394264
327	0.3429380394
328	0.3429335954
329	0.3429335954
330	0.3429335954
331	0.3429334461
332	0.3429262489
333	0.3429262489
334	0.3429227883
335	0.3429176324
336	0.3429149855
337	0.3429149512
338	0.3429144795
339	0.3429081814
340	0.3429061531
341	0.3429034769
342	0.342900953
343	0.3428986312
344	0.3428985165
345	0.3428935706
346	0.342885933
347	0.3428789461
348	0.3428740715
349	0.3428724077
350	0.3428700944
351	0.3428700944
352	0.3428685598
353	0.3428675828
354	0.3428673086
355	0.342867219
356	0.3428586051
357	0.3428586051
358	0.3428528458
359	0.3428528458
360	0.3428528458
361	0.3428462764
362	0.3428441958
363	0.3428391514
364	0.3428390969
365	0.3428390969
366	0.342836847
367	0.342832985
368	0.3428282962
369	0.3428251244
370	0.3428251208
371	0.3428224579
372	0.3428116259
373	0.3428101946
374	0.3428079715
375	0.3428054334
376	0.3428042956
377	0.3428042757
378	0.3428042757
379	0.3428042757
380	0.3427943946
381	0.3427920701
382	0.3427865094
383	0.3427850451
384	0.3427788373
385	0.3427788133
386	0.3427788133
387	0.3427736253
388	0.3427736253
389	0.3427696923
390	0.3427675381
391	0.3427628814
392	0.3427628691
393	0.3427627483
394	0.3427627483
395	0.3427528631
396	0.3427510228
397	0.3427436774
398	0.3427358398
399	0.3427334148
400	0.3427299301
401	0.3427299301
402	0.3427299301
403	0.3427261816
404	0.3427261816
405	0.3427184102
406	0.3427167315
407	0.3427167315
408	0.3427167315
409	0.3427167315
410	0.342712762
411	0.3427104554
412	0.3427036248
413	0.3427036248
414	0.3427025754
415	0.3426994344
416	0.3426993175
417	0.3426993175
418	0.3426993175
419	0.342698513
420	0.3426947095
421	0.3426947095
422	0.3426902282
423	0.3426902282
424	0.3426902282
425	0.3426781893
426	0.342675842
427	0.342675842
428	0.3426714096
429	0.3426668836
430	0.3426668836
431	0.3426660045
432	0.3426650614
433	0.3426581752
434	0.3426581752
435	0.3426568626
436	0.3426568451
437	0.3426536612
438	0.3426528513
439	0.3426519941
440	0.3426517368
441	0.3426502598
442	0.3426492055
443	0.3426443517
444	0.3426416086
445	0.3426392622
446	0.3426327917
447	0.3426284106
448	0.3426283202
449	0.3426177528
450	0.3426177528
451	0.3426163871
452	0.3426155237
453	0.3426082955
454	0.3426082955
455	0.3426013068
456	0.3426001126
457	0.3426001126
458	0.3425989374
459	0.3425989374
460	0.3425975625
461	0.3425966695
462	0.3425966695
463	0.3425901231
464	0.342582668
465	0.3425818696
466	0.3425796676
467	0.342573907
468	0.3425675156
469	0.3425628691
470	0.342561882
471	0.3425576534
472	0.3425501916
473	0.3425501916
474	0.342550181
475	0.3425451061
476	0.3425451061
477	0.3425451061
478	0.3425451061
479	0.3425451061
480	0.3425412896
481	0.3425390554
482	0.3425390554
483	0.3425374538
484	0.3425366825
485	0.3425295653
486	0.3425267293
487	0.3425266543
488	0.3425242668
489	0.3425224545
490	0.3425224545
491	0.3425181879
492	0.3425181879
493	0.3425181879
494	0.3425181879
495	0.3425166798
496	0.3425166352
497	0.3425125203
498	0.3425076839
499	0.3425076603
500	0.3425076603
501	0.3425065056
502	0.3425065056
503	0.3425007358
504	0.3424930245
505	0.3424930245
506	0.3424930201
507	0.3424883973
508	0.3424848914
509	0.342483276
510	0.3424832759
511	0.3424832632
512	0.3424832511
513	0.3424823911
514	0.3424823911
515	0.342482387
516	0.3424823863
517	0.3424808951
518	0.342480271
519	0.3424769357
520	0.3424761727
521	0.3424751333
522	0.3424722156
523	0.3424722156
524	0.3424635796
525	0.3424558661
526	0.3424505738
527	0.3424484431
528	0.342444005
529	0.3424343643
530	0.3424343643
531	0.3424296935
532	0.3424296934
533	0.342427182
534	0.3424201784
535	0.3424162331
536	0.3424161716
537	0.3424161599
538	0.3424161599
539	0.3424161569
540	0.3424150318
541	0.3424123157
542	0.342411361
543	0.3424061674
544	0.3424061523
545	0.3423998725
546	0.3423938872
547	0.3423905059
548	0.3423891839
549	0.3423891815
550	0.3423891815
551	0.3423891794
552	0.3423839179
553	0.3423839179
554	0.3423837731
555	0.3423832411
556	0.3423832411
557	0.342383241
558	0.3423831752
559	0.3423815973
560	0.3423815973
561	0.3423804466
562	0.3423768495
563	0.3423722547
564	0.3423706674
565	0.3423706674
566	0.3423626293
567	0.3423612212
568	0.3423612211
569	0.3423612211
570	0.3423528069
571	0.3423509227
572	0.3423509227
573	0.3423500773
574	0.3423500687
575	0.3423500687
576	0.3423495453
577	0.3423495453
578	0.3423455935
579	0.3423455213
580	0.3423448913
581	0.3423434598
582	0.3423421387
583	0.3423421387
584	0.3423421364
585	0.3423419882
586	0.3423419882
587	0.3423360538
588	0.3423360538
589	0.3423345624
590	0.3423275601
591	0.3423262875
592	0.3423230363
593	0.3423230363
594	0.3423230363
595	0.3423174459
596	0.3423166704
597	0.3423158242
598	0.3423115282
599	0.3423081502
600	0.3423077346
601	0.3423077346
602	0.342303297
603	0.3423006004
604	0.3423000042
605	0.3422965186
606	0.3422965185
607	0.3422901518
608	0.3422901517
609	0.3422901517
610	0.3422886454
611	0.3422843199
612	0.3422818959
613	0.3422777498
614	0.3422742093
615	0.3422742093
616	0.342273543
617	0.3422706529
618	0.3422651185
619	0.3422651185
620	0.3422614139
621	0.3422524729
622	0.3422524729
623	0.3422486698
624	0.3422455469
625	0.3422450751
